,exercise_name,crossfit_session_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instructions
373,Goblet Squat,Olympic Weightlifting,Mobility,Medicine Ball,Upper body,Hold,"Lats, Biceps","Make sure to use explosive power when needed, especially for dynamic exercises."
374,Pistol Hold,Gymnastics,Cardio,Medicine Ball,Lower body,Pull,"Chest, Triceps",Keep your back straight and hinge at the hips for proper form.
375,Kettlebell Swings,Olympic Weightlifting,Mobility,Bodyweight,Core,Stretch,"Upper Chest, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
376,Behind the Neck Jerk,Strength,Cardio,Kettlebell,Core,Stretch,"Biceps, Shoulders",Keep your back straight and hinge at the hips for proper form.
377,Bear Crawl,Crossfit,Strength,Kettlebell,Full body,Pull,"Chest, Triceps",Maintain a strong core throughout the exercise for better stability.
378,Decline Push-Ups,Gymnastics,Mobility,Dumbbells,Full body,Stretch,"Upper Chest, Shoulders",Stretch before and after this exercise for better mobility and recovery.
379,Overhead Lunges,Crossfit,Warm-up,Bodyweight,Core,Hold,"Shoulders, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
380,Overhead Kettlebell Squats,Olympic Weightlifting,Cardio,Barbell,Lower body,Stretch,"Lats, Biceps",Keep your back straight and hinge at the hips for proper form.
381,Jumping Lunges,Olympic Weightlifting,Warm-up,Medicine Ball,Core,Hold,"Core, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
382,Bulgarian Split Squats,Conditioning,Warm-up,Medicine Ball,Lower body,Push,"Hamstrings, Glutes",Stretch before and after this exercise for better mobility and recovery.
383,Wall Sits,Crossfit,Warm-up,Pull-up Bar,Lower body,Push,"Biceps, Shoulders",Maintain a strong core throughout the exercise for better stability.
384,Renegade Rows,Conditioning,Warm-up,Bodyweight,Lower body,Stretch,"Glutes, Hamstrings",Start with a lighter weight or progression if you're new to this exercise.
385,Double KB Deadlift,Conditioning,Cardio,Barbell,Lower body,Hold,"Biceps, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
386,Seated Kettlebell Press,Olympic Weightlifting,Cardio,Bodyweight,Upper body,Hold,"Lats, Biceps",Perform the movement with a full range of motion while maintaining proper posture.
387,Sled Pull,Crossfit,Cardio,Barbell,Full body,Stretch,"Quads, Glutes",Stretch before and after this exercise for better mobility and recovery.
388,Clapping Push-Ups,Gymnastics,Cardio,Resistance Band,Upper body,Stretch,"Upper Chest, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
389,Scapular Pull-Up,Gymnastics,Strength,Barbell,Upper body,Stretch,"Core, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
390,Weighted Step-Ups,Strength,Strength,Barbell,Full body,Push,"Core, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
391,Deadlift,Olympic Weightlifting,Warm-up,Dumbbells,Full body,Pull,"Core, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
392,Strict Ring Muscle-Ups,Aerobic Body Building,Mobility,Barbell,Full body,Stretch,"Shoulders, Triceps",Maintain a strong core throughout the exercise for better stability.
393,Kettlebell Snatch,Crossfit,Cardio,Medicine Ball,Full body,Push,"Core, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
394,Ski Erg Sprints,Aerobic Body Building,Mobility,Bodyweight,Upper body,Pull,"Quads, Glutes",Stretch before and after this exercise for better mobility and recovery.
395,Overhead Press,Gymnastics,Cardio,Medicine Ball,Lower body,Pull,"Core, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
396,Ski Erg Sprints,Conditioning,Strength,Medicine Ball,Upper body,Hold,"Lats, Biceps",Perform the movement with a full range of motion while maintaining proper posture.
397,Goblet Squat,Olympic Weightlifting,Strength,Bodyweight,Full body,Pull,"Lower Back, Core",Perform the movement with a full range of motion while maintaining proper posture.
398,Dumbbell Power Clean,Crossfit,Cardio,Pull-up Bar,Upper body,Hold,"Biceps, Shoulders",Keep your back straight and hinge at the hips for proper form.
399,Scapular Push-Ups,Aerobic Body Building,Warm-up,Bodyweight,Full body,Stretch,"Lower Back, Core","Make sure to use explosive power when needed, especially for dynamic exercises."
400,Dumbbell Walking Lunge,Crossfit,Mobility,Resistance Band,Lower body,Push,"Biceps, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
401,Deficit Push-Ups,Conditioning,Strength,Pull-up Bar,Upper body,Push,"Hamstrings, Glutes",Stretch before and after this exercise for better mobility and recovery.
402,Man Makers,Crossfit,Mobility,Dumbbells,Upper body,Pull,"Upper Chest, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
403,Plank,Gymnastics,Cardio,Medicine Ball,Core,Pull,"Lats, Biceps",Stretch before and after this exercise for better mobility and recovery.
404,Barbell Thruster,Olympic Weightlifting,Warm-up,Pull-up Bar,Full body,Pull,"Biceps, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
405,Jumping Pull-Ups,Olympic Weightlifting,Mobility,Pull-up Bar,Core,Stretch,"Hamstrings, Glutes","Ensure your breathing is controlled, exhaling during the exertion phase."
406,Dumbbell Bench Press,Crossfit,Strength,Bodyweight,Upper body,Hold,"Shoulders, Triceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
407,Jump Rope,Conditioning,Mobility,Medicine Ball,Full body,Stretch,"Glutes, Hamstrings",Maintain a strong core throughout the exercise for better stability.
408,Kettlebell Snatch,Olympic Weightlifting,Cardio,Pull-up Bar,Lower body,Stretch,"Lats, Biceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
409,Lateral Box Jumps,Strength,Cardio,Resistance Band,Full body,Push,"Upper Chest, Shoulders",Keep your back straight and hinge at the hips for proper form.
410,Hang Power Clean,Aerobic Body Building,Strength,Bodyweight,Upper body,Pull,"Hamstrings, Glutes",Warm-up adequately before performing this exercise to prevent injury.
411,Overhead Squat,Olympic Weightlifting,Warm-up,Dumbbells,Upper body,Stretch,"Lats, Biceps","Make sure to use explosive power when needed, especially for dynamic exercises."
412,Kettlebell Swings,Olympic Weightlifting,Warm-up,Resistance Band,Full body,Stretch,"Biceps, Shoulders",Keep your back straight and hinge at the hips for proper form.
413,Weighted Wall Balls,Conditioning,Strength,Bodyweight,Core,Push,"Hamstrings, Glutes",Keep your back straight and hinge at the hips for proper form.
414,Lunge Twists,Gymnastics,Strength,Medicine Ball,Core,Stretch,"Hamstrings, Glutes",Maintain a strong core throughout the exercise for better stability.
415,Sumo Deadlift,Aerobic Body Building,Mobility,Resistance Band,Upper body,Pull,"Shoulders, Triceps",Warm-up adequately before performing this exercise to prevent injury.
416,Lunges,Crossfit,Cardio,Kettlebell,Full body,Stretch,"Shoulders, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
417,Superman Hold,Gymnastics,Strength,Barbell,Upper body,Hold,"Biceps, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
418,Front Squat,Aerobic Body Building,Strength,Resistance Band,Upper body,Hold,"Shoulders, Triceps",Stretch before and after this exercise for better mobility and recovery.
419,Bench Press,Olympic Weightlifting,Warm-up,Bodyweight,Core,Push,"Glutes, Hamstrings","Ensure your breathing is controlled, exhaling during the exertion phase."
420,Weighted Overhead Lunges,Gymnastics,Cardio,Medicine Ball,Full body,Stretch,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
421,Mountain Climbers,Conditioning,Mobility,Medicine Ball,Core,Stretch,"Core, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
422,V-Ups,Crossfit,Cardio,Bodyweight,Full body,Hold,"Quads, Glutes",Stretch before and after this exercise for better mobility and recovery.
423,Bottom-Up Kettlebell Press,Crossfit,Cardio,Barbell,Full body,Push,"Hamstrings, Glutes",Keep your back straight and hinge at the hips for proper form.
424,Wall Balls,Gymnastics,Strength,Medicine Ball,Lower body,Pull,"Lats, Biceps","Make sure to use explosive power when needed, especially for dynamic exercises."
425,Ring Rows,Olympic Weightlifting,Cardio,Pull-up Bar,Core,Pull,"Shoulders, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
426,Legless Rope Climb,Crossfit,Strength,Resistance Band,Full body,Hold,"Lats, Biceps",Maintain a strong core throughout the exercise for better stability.
427,Hollow Body Hold,Olympic Weightlifting,Mobility,Bodyweight,Lower body,Push,"Lats, Biceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
428,Barbell Thruster,Aerobic Body Building,Strength,Pull-up Bar,Upper body,Stretch,"Core, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
429,Dumbbell Thrusters,Aerobic Body Building,Warm-up,Barbell,Core,Pull,"Lats, Biceps",Stretch before and after this exercise for better mobility and recovery.
430,Lateral Kettlebell Swing,Olympic Weightlifting,Strength,Resistance Band,Full body,Pull,"Lower Back, Core",Perform the movement with a full range of motion while maintaining proper posture.
431,Flutter Kicks,Crossfit,Warm-up,Barbell,Upper body,Push,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
432,Bear Crawl Drags,Gymnastics,Cardio,Kettlebell,Full body,Stretch,"Lower Back, Core","Make sure to use explosive power when needed, especially for dynamic exercises."
433,Single Arm Ring Row,Crossfit,Strength,Barbell,Lower body,Push,"Upper Chest, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
434,Explosive Push-Ups,Strength,Warm-up,Dumbbells,Upper body,Push,"Lower Back, Core",Keep your back straight and hinge at the hips for proper form.
435,Hang Power Snatch,Aerobic Body Building,Mobility,Resistance Band,Full body,Push,"Glutes, Hamstrings",Perform the movement with a full range of motion while maintaining proper posture.
436,Reverse Hyper,Crossfit,Cardio,Pull-up Bar,Lower body,Push,"Lower Back, Core","Ensure your breathing is controlled, exhaling during the exertion phase."
437,Pistol Squats,Aerobic Body Building,Warm-up,Resistance Band,Lower body,Stretch,"Hamstrings, Glutes",Start with a lighter weight or progression if you're new to this exercise.
438,Lunges,Aerobic Body Building,Mobility,Dumbbells,Core,Push,"Core, Shoulders",Maintain a strong core throughout the exercise for better stability.
439,Hollow Rock,Olympic Weightlifting,Warm-up,Medicine Ball,Core,Hold,"Upper Chest, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
440,Rower Sprints,Strength,Strength,Dumbbells,Core,Hold,"Upper Chest, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
441,Sandbag Squats,Strength,Warm-up,Medicine Ball,Upper body,Pull,"Quads, Glutes",Maintain a strong core throughout the exercise for better stability.
442,Lateral Lunges,Strength,Mobility,Pull-up Bar,Full body,Stretch,"Shoulders, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
443,Jumping Lunges,Strength,Warm-up,Bodyweight,Full body,Stretch,"Core, Shoulders",Keep your back straight and hinge at the hips for proper form.
444,Double Unders,Strength,Mobility,Kettlebell,Full body,Push,"Lats, Biceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
445,Axle Bar Deadlift,Aerobic Body Building,Strength,Resistance Band,Lower body,Pull,"Core, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
446,Power Jerk,Aerobic Body Building,Strength,Dumbbells,Core,Pull,"Hamstrings, Glutes",Start with a lighter weight or progression if you're new to this exercise.
447,Sled Pull,Gymnastics,Cardio,Kettlebell,Upper body,Pull,"Chest, Triceps",Start with a lighter weight or progression if you're new to this exercise.
448,High Pull,Gymnastics,Cardio,Pull-up Bar,Full body,Hold,"Chest, Triceps",Start with a lighter weight or progression if you're new to this exercise.
449,Back Squat,Crossfit,Mobility,Medicine Ball,Upper body,Push,"Shoulders, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
450,Russian Twists,Crossfit,Warm-up,Bodyweight,Upper body,Stretch,"Core, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
451,Single Arm Snatch,Aerobic Body Building,Cardio,Dumbbells,Core,Pull,"Biceps, Shoulders",Keep your back straight and hinge at the hips for proper form.
452,Front Rack Lunge,Strength,Warm-up,Pull-up Bar,Core,Pull,"Upper Chest, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
453,Explosive Push-Ups,Aerobic Body Building,Cardio,Medicine Ball,Full body,Pull,"Lower Back, Core",Warm-up adequately before performing this exercise to prevent injury.
454,Scapular Pull-Up,Crossfit,Warm-up,Bodyweight,Full body,Stretch,"Chest, Triceps",Keep your back straight and hinge at the hips for proper form.
455,Double KB Deadlift,Olympic Weightlifting,Warm-up,Medicine Ball,Core,Pull,"Quads, Glutes",Maintain a strong core throughout the exercise for better stability.
456,Landmine Squats,Olympic Weightlifting,Mobility,Medicine Ball,Lower body,Pull,"Hamstrings, Glutes",Keep your back straight and hinge at the hips for proper form.
457,Dumbbell Snatch,Strength,Strength,Barbell,Upper body,Push,"Glutes, Hamstrings","Make sure to use explosive power when needed, especially for dynamic exercises."
458,Pallof Press,Gymnastics,Strength,Pull-up Bar,Core,Hold,"Chest, Triceps",Perform the movement with a full range of motion while maintaining proper posture.
459,Single Arm Ring Row,Conditioning,Warm-up,Kettlebell,Core,Stretch,"Biceps, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
460,Dumbbell Thrusters,Crossfit,Strength,Resistance Band,Lower body,Stretch,"Glutes, Hamstrings",Warm-up adequately before performing this exercise to prevent injury.
461,Burpee Box Jumps,Strength,Cardio,Dumbbells,Core,Push,"Lats, Biceps","Make sure to use explosive power when needed, especially for dynamic exercises."
462,Prowler Push/Pull,Gymnastics,Strength,Bodyweight,Full body,Stretch,"Lats, Biceps","Make sure to use explosive power when needed, especially for dynamic exercises."
463,Hang Cleans,Olympic Weightlifting,Warm-up,Bodyweight,Full body,Push,"Lower Back, Core",Perform the movement with a full range of motion while maintaining proper posture.
464,Handstand Push-ups,Aerobic Body Building,Mobility,Resistance Band,Core,Push,"Quads, Glutes",Maintain a strong core throughout the exercise for better stability.
465,Sled Push,Conditioning,Cardio,Pull-up Bar,Lower body,Stretch,"Glutes, Hamstrings","Focus on controlling the movement to avoid injury, especially when using heavy weights."
466,Hang Power Snatch,Crossfit,Strength,Pull-up Bar,Upper body,Pull,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
467,Behind the Neck Jerk,Conditioning,Strength,Bodyweight,Full body,Pull,"Quads, Glutes",Start with a lighter weight or progression if you're new to this exercise.
468,Burpees,Gymnastics,Warm-up,Pull-up Bar,Lower body,Stretch,"Glutes, Hamstrings","Focus on controlling the movement to avoid injury, especially when using heavy weights."
469,Assault Bike,Conditioning,Strength,Bodyweight,Upper body,Hold,"Lats, Biceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
470,Single Arm Ring Row,Conditioning,Mobility,Bodyweight,Full body,Push,"Upper Chest, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
471,Seated Kettlebell Press,Crossfit,Mobility,Barbell,Lower body,Push,"Biceps, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
472,Dumbbell Windmills,Strength,Warm-up,Bodyweight,Lower body,Hold,"Upper Chest, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
473,Handstand Hold,Aerobic Body Building,Mobility,Kettlebell,Full body,Pull,"Upper Chest, Shoulders",Stretch before and after this exercise for better mobility and recovery.
474,V-Ups,Strength,Cardio,Bodyweight,Core,Push,"Biceps, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
475,Dumbbell Windmills,Gymnastics,Strength,Barbell,Upper body,Push,"Biceps, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
476,Zercher Squats,Aerobic Body Building,Mobility,Medicine Ball,Core,Stretch,"Quads, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
477,Weighted Pull-Up,Conditioning,Warm-up,Resistance Band,Upper body,Hold,"Quads, Glutes",Stretch before and after this exercise for better mobility and recovery.
478,Prowler Push/Pull,Crossfit,Strength,Medicine Ball,Lower body,Hold,"Hamstrings, Glutes",Start with a lighter weight or progression if you're new to this exercise.
479,Push-Up Rows,Strength,Mobility,Pull-up Bar,Upper body,Hold,"Hamstrings, Glutes",Warm-up adequately before performing this exercise to prevent injury.
480,Incline Push-Ups,Strength,Mobility,Kettlebell,Upper body,Stretch,"Biceps, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
481,Overhead Carries,Strength,Warm-up,Bodyweight,Core,Hold,"Upper Chest, Shoulders",Maintain a strong core throughout the exercise for better stability.
482,Sled Pull,Crossfit,Warm-up,Pull-up Bar,Lower body,Hold,"Hamstrings, Glutes",Keep your back straight and hinge at the hips for proper form.
483,Barbell Thruster,Strength,Cardio,Bodyweight,Full body,Pull,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
484,Cossack Squat,Crossfit,Warm-up,Pull-up Bar,Lower body,Pull,"Hamstrings, Glutes","Ensure your breathing is controlled, exhaling during the exertion phase."
485,Mountain Climbers,Crossfit,Warm-up,Resistance Band,Upper body,Hold,"Quads, Glutes",Stretch before and after this exercise for better mobility and recovery.
486,Zercher Squats,Strength,Cardio,Bodyweight,Upper body,Stretch,"Lower Back, Core","Make sure to use explosive power when needed, especially for dynamic exercises."
487,Wall Balls,Conditioning,Mobility,Kettlebell,Core,Stretch,"Shoulders, Triceps",Keep your back straight and hinge at the hips for proper form.
488,Strict Press,Conditioning,Warm-up,Dumbbells,Core,Stretch,"Chest, Triceps",Start with a lighter weight or progression if you're new to this exercise.
489,Dragon Flags,Crossfit,Warm-up,Pull-up Bar,Full body,Hold,"Chest, Triceps",Warm-up adequately before performing this exercise to prevent injury.
490,Overhead Kettlebell Carry,Strength,Cardio,Kettlebell,Full body,Hold,"Core, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
491,Banded Tricep Pushdowns,Strength,Cardio,Bodyweight,Full body,Pull,"Hamstrings, Glutes",Perform the movement with a full range of motion while maintaining proper posture.
492,Plank,Aerobic Body Building,Mobility,Bodyweight,Core,Stretch,"Shoulders, Triceps",Maintain a strong core throughout the exercise for better stability.
493,Rope Climbs,Gymnastics,Cardio,Barbell,Full body,Push,"Core, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
494,Zercher Squats,Olympic Weightlifting,Mobility,Medicine Ball,Full body,Push,"Glutes, Hamstrings",Perform the movement with a full range of motion while maintaining proper posture.
495,Bear Crawl,Conditioning,Cardio,Barbell,Lower body,Push,"Shoulders, Triceps",Perform the movement with a full range of motion while maintaining proper posture.
496,Jumping Pull-Ups,Conditioning,Mobility,Bodyweight,Upper body,Hold,"Shoulders, Triceps",Keep your back straight and hinge at the hips for proper form.
497,Push Press,Conditioning,Warm-up,Resistance Band,Lower body,Pull,"Quads, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
498,Deficit Deadlift,Aerobic Body Building,Strength,Medicine Ball,Upper body,Stretch,"Lats, Biceps",Maintain a strong core throughout the exercise for better stability.
499,Bear Crawl,Strength,Strength,Medicine Ball,Upper body,Stretch,"Glutes, Hamstrings",Stretch before and after this exercise for better mobility and recovery.
